order_id,order_date,customer_name,region,category,sub_category,sales,quantity,discount,profit
ORD-300000,2025-01-31,Laura Williams,West,Technology,Copiers,654.68,8,0.0,157.12
ORD-300001,2025-04-17,Jeffrey Miller,West,Office Supplies,Storage,1402.21,3,0.03,294.46
ORD-300002,2025-10-30,Kimberly Jimenez,West,Furniture,Bookcases,488.38,4,0.1,68.37
ORD-300003,2025-09-16,Erin Valentine,South,Technology,Phones,392.33,3,0.03,82.39
ORD-300004,2026-04-04,Danny Clark,South,Technology,Accessories,320.08,5,0.03,67.22
ORD-300005,2024-12-25,Abigail Kelly,South,Technology,Accessories,1021.13,7,0.03,214.44
ORD-300006,2024-01-21,Kristen Hudson,South,Technology,Phones,831.28,2,0.07,141.32
ORD-300007,2024-09-30,Jennifer Good,South,Furniture,Chairs,504.25,2,0.0,121.02
ORD-300008,2023-07-27,Gabriela Mendez,South,Technology,Accessories,346.46,7,0.07,58.9
ORD-300009,2023-04-30,Christina Jackson,South,Office Supplies,Paper,382.89,5,0.07,65.09
ORD-300010,2026-02-02,Christine Lucas,East,Furniture,Bookcases,1022.18,10,0.1,143.11
ORD-300011,2023-08-29,Cynthia Wallace,West,Furniture,Tables,712.95,3,0.03,149.72
ORD-300012,2025-04-23,Jeffrey Tyler,Central,Furniture,Tables,253.56,5,0.0,60.85
ORD-300013,2024-11-05,Stephanie Chen MD,Central,Technology,Copiers,1178.66,7,0.03,247.52
ORD-300014,2023-07-25,Jennifer Carson,East,Furniture,Chairs,1453.98,7,0.1,203.56
ORD-300015,2023-06-09,Justin Walker,Central,Furniture,Bookcases,184.56,8,0.03,38.76
ORD-300016,2024-04-02,Jennifer Brown,Central,Technology,Copiers,1320.76,6,0.0,316.98
ORD-300017,2025-02-05,Stephen Vaughan,East,Office Supplies,Binders,1252.26,6,0.0,300.54
ORD-300018,2023-04-26,Timothy Adams,East,Office Supplies,Storage,106.63,9,0.1,14.93
ORD-300019,2024-09-24,Philip Johnson,East,Office Supplies,Binders,135.9,5,0.0,32.62
ORD-300020,2025-10-12,Steven Mercado,West,Office Supplies,Storage,192.6,10,0.1,26.96
ORD-300021,2025-12-16,Tina Li,East,Furniture,Chairs,1023.9,4,0.03,215.02
ORD-300022,2024-09-09,Jennifer Olsen,South,Furniture,Bookcases,823.09,9,0.0,197.54
ORD-300023,2023-11-02,Alexis Nelson,Central,Technology,Copiers,469.96,8,0.1,65.79
ORD-300024,2023-05-14,Bradley Romero,East,Technology,Accessories,1045.43,2,0.0,250.9
ORD-300025,2025-04-14,Rachel Cox,West,Technology,Copiers,648.18,8,0.1,90.75
ORD-300026,2025-03-07,Elizabeth Turner,Central,Technology,Copiers,1137.71,2,0.1,159.28
ORD-300027,2025-07-14,Gary French,East,Office Supplies,Binders,1007.92,10,0.03,211.66
ORD-300028,2023-04-25,Elizabeth Miller,Central,Furniture,Tables,456.64,8,0.1,63.93
ORD-300029,2024-04-15,Lauren Ross,South,Office Supplies,Storage,372.08,5,0.03,78.14
ORD-300030,2024-01-12,Nathaniel Mcgrath,South,Furniture,Bookcases,699.45,9,0.03,146.88
ORD-300031,2023-11-08,Richard Miller MD,West,Furniture,Chairs,189.45,2,0.07,32.21
ORD-300032,2023-10-15,Glenda Montgomery,Central,Office Supplies,Binders,467.27,3,0.0,112.14
ORD-300033,2023-10-25,Kenneth Smith,East,Office Supplies,Storage,810.96,5,0.03,170.3
ORD-300034,2026-03-18,Lisa Anderson,Central,Technology,Copiers,1034.31,7,0.0,248.23
ORD-300035,2023-09-23,Karen Bell,East,Furniture,Chairs,1370.15,1,0.07,232.93
ORD-300036,2024-08-31,Kayla Cruz,South,Technology,Copiers,762.78,10,0.1,106.79
ORD-300037,2025-09-18,Jesus Brown,South,Furniture,Bookcases,870.57,1,0.1,121.88
ORD-300038,2024-04-21,Leah Sanders,Central,Furniture,Tables,262.76,9,0.07,44.67
ORD-300039,2024-11-25,Anita Robertson,East,Office Supplies,Paper,428.42,4,0.0,102.82
ORD-300040,2026-01-14,Jeremy Diaz Jr.,Central,Office Supplies,Binders,198.38,7,0.1,27.77
ORD-300041,2026-01-04,Natalie Moss,Central,Office Supplies,Binders,1427.41,4,0.03,299.76
ORD-300042,2025-09-21,Robert Zimmerman,South,Furniture,Bookcases,650.56,7,0.0,156.13
ORD-300043,2025-02-14,Jason Duffy,South,Office Supplies,Binders,1159.95,8,0.07,197.19
ORD-300044,2023-11-15,Steven Richardson,East,Furniture,Chairs,1012.5,2,0.07,172.12
ORD-300045,2025-10-12,Maxwell Wright,South,Technology,Accessories,1198.99,4,0.1,167.86
ORD-300046,2026-02-10,Sonia Rocha,West,Office Supplies,Paper,900.5,6,0.1,126.07
ORD-300047,2024-10-20,Penny Davis,West,Furniture,Bookcases,834.14,6,0.1,116.78
ORD-300048,2026-03-20,Daniel Russell,East,Technology,Copiers,251.95,5,0.0,60.47
ORD-300049,2024-04-11,Keith Garcia,East,Furniture,Tables,597.5,5,0.1,83.65
ORD-300050,2023-12-11,Christopher Dennis,South,Furniture,Tables,289.76,6,0.0,69.54
ORD-300051,2025-08-31,Donald Perez,West,Technology,Phones,573.83,8,0.0,137.72
ORD-300052,2024-12-30,Desiree Rice,South,Office Supplies,Binders,1138.68,4,0.03,239.12
ORD-300053,2025-09-28,Anthony Hunt,East,Office Supplies,Storage,233.16,10,0.0,55.96
ORD-300054,2025-06-21,Jeffery Figueroa,West,Office Supplies,Binders,954.32,10,0.03,200.41
ORD-300055,2024-07-12,Dylan Bryant,East,Technology,Phones,563.21,8,0.0,135.17
ORD-300056,2023-08-13,Diana Brown,West,Furniture,Chairs,441.4,5,0.0,105.94
ORD-300057,2023-09-12,Michael Vega,East,Furniture,Bookcases,1141.54,4,0.0,273.97
ORD-300058,2026-02-28,Joseph Hayes,East,Technology,Copiers,1449.02,7,0.07,246.33
ORD-300059,2023-06-20,Denise Bennett,East,Furniture,Tables,772.26,10,0.07,131.28
ORD-300060,2023-06-26,Mr. Jeffrey Cruz,West,Office Supplies,Paper,216.38,6,0.1,30.29
ORD-300061,2024-11-01,Dale Ellis,West,Furniture,Tables,142.9,7,0.07,24.29
ORD-300062,2024-01-13,Mary Boyd,East,Technology,Copiers,888.66,3,0.07,151.07
ORD-300063,2026-01-01,Nicholas Morse,South,Technology,Copiers,600.71,7,0.07,102.12
ORD-300064,2024-12-22,Stacey Sosa,West,Furniture,Bookcases,1359.9,6,0.0,326.38
ORD-300065,2023-08-13,Theresa Lawson,South,Technology,Accessories,486.97,3,0.03,102.26
ORD-300066,2024-01-30,Cheryl Wood,East,Office Supplies,Paper,944.86,7,0.0,226.77
ORD-300067,2026-03-23,Timothy Kennedy DDS,Central,Furniture,Tables,889.02,2,0.07,151.13
ORD-300068,2026-01-08,Jerome Ramos,West,Office Supplies,Paper,1334.62,1,0.03,280.27
ORD-300069,2023-05-28,Holly Ramirez,South,Furniture,Chairs,732.43,6,0.03,153.81
ORD-300070,2025-09-10,Michele Crawford,South,Office Supplies,Storage,953.87,4,0.0,228.93
ORD-300071,2024-05-27,Mary Maldonado,West,Office Supplies,Paper,440.05,2,0.0,105.61
ORD-300072,2025-03-02,Michael Villarreal,South,Technology,Accessories,1051.8,2,0.1,147.25
ORD-300073,2026-01-26,Stephanie Contreras,West,Office Supplies,Paper,151.62,8,0.1,21.23
ORD-300074,2024-03-10,Christopher Davidson,Central,Furniture,Chairs,248.85,2,0.07,42.3
ORD-300075,2025-04-15,Dana Hanna,South,Technology,Phones,328.34,8,0.0,78.8
ORD-300076,2023-09-14,Jose Wolfe,East,Office Supplies,Binders,145.7,8,0.03,30.6
ORD-300077,2024-02-06,Mr. Darrell Johnson,West,Office Supplies,Paper,786.96,10,0.1,110.17
ORD-300078,2026-01-02,Kathleen Wolf,South,Furniture,Chairs,1388.39,6,0.03,291.56
ORD-300079,2024-03-23,Stacy Harris,East,Office Supplies,Binders,802.35,1,0.03,168.49
ORD-300080,2024-04-19,Scott Brown,Central,Technology,Phones,78.83,9,0.03,16.55
ORD-300081,2025-09-11,Bethany Fox,West,Office Supplies,Storage,205.68,6,0.0,49.36
ORD-300082,2025-06-18,Mary Gray,South,Office Supplies,Storage,407.01,4,0.03,85.47
ORD-300083,2026-01-07,Lindsay Kent,Central,Office Supplies,Storage,468.64,7,0.03,98.41
ORD-300084,2023-07-07,Luke Wilson,East,Technology,Accessories,851.59,4,0.03,178.83
ORD-300085,2024-04-10,Laura Doyle,Central,Furniture,Tables,453.56,9,0.0,108.85
ORD-300086,2023-08-22,Kevin Lee,South,Technology,Copiers,454.82,9,0.1,63.67
ORD-300087,2023-04-17,David Wolf,West,Office Supplies,Binders,876.6,1,0.07,149.02
ORD-300088,2023-05-06,Clifford Ross,Central,Office Supplies,Binders,863.49,10,0.03,181.33
ORD-300089,2023-10-24,Kristen Beasley,East,Office Supplies,Storage,1228.84,8,0.1,172.04
ORD-300090,2024-09-28,Mikayla Mullins,Central,Furniture,Chairs,387.81,10,0.03,81.44
ORD-300091,2023-12-22,Jennifer Martin,South,Furniture,Chairs,938.77,1,0.1,131.43
ORD-300092,2023-04-05,Daniel Gross,West,Furniture,Tables,1302.14,1,0.0,312.51
ORD-300093,2025-01-15,Raymond Foster,East,Office Supplies,Paper,670.33,5,0.1,93.85
ORD-300094,2023-07-11,Nicholas Brown,South,Technology,Copiers,247.86,8,0.0,59.49
ORD-300095,2025-08-08,Joseph Allen,South,Furniture,Chairs,272.34,3,0.0,65.36
ORD-300096,2025-02-06,Spencer Mora,East,Office Supplies,Paper,114.6,10,0.0,27.5
ORD-300097,2025-03-13,Jennifer Pope,West,Office Supplies,Paper,1183.84,8,0.03,248.61
ORD-300098,2026-01-26,James Gonzalez,West,Furniture,Tables,1083.83,5,0.03,227.6
ORD-300099,2025-04-10,Lisa Wall,South,Office Supplies,Storage,998.77,1,0.1,139.83
ORD-300100,2024-07-17,Lisa Mills,East,Furniture,Tables,154.36,8,0.07,26.24
ORD-300101,2024-10-02,David Parker,South,Furniture,Bookcases,573.18,7,0.1,80.25
ORD-300102,2024-05-15,Jonathan Freeman Jr.,East,Office Supplies,Binders,344.78,10,0.07,58.61
ORD-300103,2025-03-07,Amber Mitchell,West,Technology,Copiers,270.6,8,0.1,37.88
ORD-300104,2023-04-13,Sharon Kelly,West,Furniture,Bookcases,333.37,7,0.07,56.67
ORD-300105,2024-01-18,Devin Lopez,South,Furniture,Chairs,588.14,2,0.03,123.51
ORD-300106,2023-11-29,Ellen Duarte,West,Technology,Accessories,1277.9,4,0.0,306.7
ORD-300107,2023-06-15,Nicholas Stewart,Central,Office Supplies,Storage,483.09,1,0.0,115.94
ORD-300108,2023-05-30,Colton Miller,West,Furniture,Tables,948.94,6,0.1,132.85
ORD-300109,2026-01-30,James Thomas,East,Office Supplies,Storage,1344.88,10,0.1,188.28
ORD-300110,2023-07-23,Mark Anderson,South,Furniture,Bookcases,76.94,9,0.07,13.08
ORD-300111,2024-06-13,Jeffrey Cisneros,West,Office Supplies,Paper,107.54,2,0.03,22.58
ORD-300112,2024-02-25,Julie Reed,South,Technology,Phones,929.18,6,0.03,195.13
ORD-300113,2025-04-11,Ricardo Stephens,West,Office Supplies,Storage,710.16,10,0.07,120.73
ORD-300114,2024-07-13,Lawrence Stevens,West,Technology,Accessories,1483.49,2,0.0,356.04
ORD-300115,2024-04-24,John Ross,South,Furniture,Tables,261.75,8,0.03,54.97
ORD-300116,2025-05-08,Joshua Rosario,East,Office Supplies,Binders,848.87,4,0.0,203.73
ORD-300117,2023-08-13,Thomas Harrell DDS,South,Furniture,Tables,1378.84,3,0.03,289.56
ORD-300118,2025-09-01,Jodi Allen,East,Office Supplies,Paper,434.13,2,0.03,91.17
ORD-300119,2025-12-10,Michael Lee,East,Office Supplies,Storage,1158.15,7,0.07,196.89
ORD-300120,2025-06-14,Nichole Carpenter,South,Technology,Copiers,963.09,3,0.03,202.25
ORD-300121,2025-07-12,Kristen Taylor,West,Furniture,Bookcases,188.36,7,0.07,32.02
ORD-300122,2025-02-11,Austin Elliott,Central,Technology,Copiers,146.48,7,0.07,24.9
ORD-300123,2023-04-29,Rebecca Schmidt,South,Furniture,Chairs,188.2,6,0.03,39.52
ORD-300124,2025-04-26,Jacob Fields,South,Furniture,Bookcases,330.48,10,0.07,56.18
ORD-300125,2024-10-12,Natasha King,Central,Office Supplies,Storage,886.05,1,0.1,124.05
ORD-300126,2024-11-03,Sara Nash,West,Furniture,Tables,1390.97,6,0.0,333.83
ORD-300127,2026-03-03,Michael Taylor,East,Technology,Copiers,520.55,8,0.07,88.49
ORD-300128,2025-08-18,Christine Greene,South,Office Supplies,Binders,1115.85,6,0.1,156.22
ORD-300129,2023-12-16,Brian Reynolds,South,Furniture,Bookcases,1118.38,2,0.03,234.86
ORD-300130,2024-10-15,Brittany Maldonado,Central,Technology,Accessories,1401.36,8,0.1,196.19
ORD-300131,2024-03-30,Todd Johnson,South,Technology,Accessories,668.88,7,0.0,160.53
ORD-300132,2025-12-08,Luis Bowman,West,Technology,Copiers,944.33,2,0.1,132.21
ORD-300133,2023-05-05,Denise Colon,East,Technology,Copiers,626.54,6,0.07,106.51
ORD-300134,2026-02-14,Stephanie Christensen,East,Furniture,Tables,857.15,7,0.03,180.0
ORD-300135,2025-05-11,Carla Clark,East,Office Supplies,Binders,61.6,5,0.03,12.94
ORD-300136,2025-11-10,Mark Williams,Central,Technology,Phones,615.51,10,0.07,104.64
ORD-300137,2024-05-02,Albert Wheeler,South,Furniture,Chairs,292.08,4,0.0,70.1
ORD-300138,2025-10-15,Dominique Hudson,South,Technology,Copiers,846.84,10,0.1,118.56
ORD-300139,2024-07-12,Melissa Anderson,West,Technology,Accessories,1222.09,6,0.0,293.3
ORD-300140,2024-11-29,Travis Stark,Central,Technology,Copiers,622.57,3,0.07,105.84
ORD-300141,2026-03-15,Mr. Thomas Christensen,West,Furniture,Chairs,100.53,6,0.1,14.07
ORD-300142,2023-10-23,Matthew Harris,South,Technology,Phones,233.18,2,0.1,32.65
ORD-300143,2025-09-22,Caitlin Barrett,West,Technology,Phones,1055.12,3,0.07,179.37
ORD-300144,2025-01-07,David Bailey,West,Furniture,Bookcases,81.21,10,0.03,17.05
ORD-300145,2025-12-28,Luke Suarez,West,Technology,Phones,1443.91,1,0.03,303.22
ORD-300146,2025-03-29,Chad Glenn,South,Technology,Phones,71.78,4,0.0,17.23
ORD-300147,2023-11-29,Amber Potter,Central,Furniture,Bookcases,202.82,2,0.0,48.68
ORD-300148,2025-01-06,Thomas Anderson,East,Furniture,Tables,239.95,10,0.1,33.59
ORD-300149,2025-01-18,Christina Castillo,West,Furniture,Bookcases,824.85,9,0.1,115.48
ORD-300150,2023-07-18,James Le,South,Office Supplies,Paper,1413.16,5,0.07,240.24
ORD-300151,2024-05-21,Chelsea Carpenter,South,Furniture,Tables,1349.61,4,0.1,188.95
ORD-300152,2025-09-16,Jessica Gutierrez,South,Furniture,Chairs,1274.86,4,0.07,216.73
ORD-300153,2023-04-20,William Bray,Central,Technology,Copiers,1450.3,4,0.07,246.55
ORD-300154,2023-11-27,Mr. Kyle Scott,East,Office Supplies,Storage,842.2,3,0.07,143.17
ORD-300155,2023-12-01,Jamie Howell,West,Technology,Phones,886.75,6,0.0,212.82
ORD-300156,2023-06-30,Kaylee Medina,East,Office Supplies,Storage,760.87,7,0.03,159.78
ORD-300157,2025-11-24,Paul Charles,West,Office Supplies,Paper,504.74,9,0.07,85.81
ORD-300158,2025-03-26,Javier Martinez,Central,Office Supplies,Paper,910.55,7,0.0,218.53
ORD-300159,2025-04-16,Christine Grant,West,Office Supplies,Binders,410.62,6,0.1,57.49
ORD-300160,2025-11-09,Joseph Whitehead,West,Furniture,Bookcases,507.1,7,0.03,106.49
ORD-300161,2023-04-29,Cassandra Ramos,South,Office Supplies,Paper,1231.9,4,0.03,258.7
ORD-300162,2023-09-07,Jeanette Diaz,East,Office Supplies,Storage,316.81,8,0.0,76.03
ORD-300163,2024-11-23,Jessica Ross,South,Technology,Phones,903.82,9,0.07,153.65
ORD-300164,2026-03-20,Kelly Thompson,West,Office Supplies,Storage,128.17,3,0.0,30.76
ORD-300165,2023-12-06,Louis Bishop Jr.,South,Furniture,Tables,122.08,2,0.07,20.75
ORD-300166,2024-08-09,Jeffrey Smith,Central,Technology,Copiers,1381.97,1,0.0,331.67
ORD-300167,2026-02-27,Susan Jennings,Central,Technology,Phones,1307.9,5,0.03,274.66
ORD-300168,2026-03-14,Andrea Thomas,West,Office Supplies,Storage,596.04,1,0.03,125.17
ORD-300169,2025-06-24,Sue Terry,Central,Technology,Accessories,169.27,6,0.03,35.55
ORD-300170,2023-12-22,William Sosa,West,Office Supplies,Storage,1251.83,4,0.1,175.26
ORD-300171,2023-05-02,Teresa Nguyen,East,Technology,Phones,655.21,5,0.07,111.39
ORD-300172,2023-07-22,Kim Taylor,Central,Furniture,Chairs,464.09,3,0.03,97.46
ORD-300173,2024-10-01,Andrea Hardy,West,Technology,Phones,1061.39,7,0.0,254.73
ORD-300174,2025-09-24,Jeanne Smith,Central,Furniture,Chairs,1294.56,8,0.03,271.86
ORD-300175,2024-02-17,Thomas Lyons,South,Office Supplies,Binders,1194.63,3,0.1,167.25
ORD-300176,2023-06-26,Samuel Brown,East,Furniture,Tables,1303.5,10,0.03,273.74
ORD-300177,2023-10-17,Nicole Cohen,East,Furniture,Bookcases,433.09,9,0.1,60.63
ORD-300178,2023-06-19,Jason Lee,Central,Technology,Accessories,703.77,3,0.07,119.64
ORD-300179,2024-11-02,Kara Evans,South,Furniture,Chairs,398.32,7,0.1,55.76
ORD-300180,2024-10-11,Cynthia Rangel DDS,West,Furniture,Chairs,632.15,10,0.07,107.47
ORD-300181,2023-06-14,John Watson,West,Furniture,Chairs,238.78,1,0.07,40.59
ORD-300182,2024-05-04,Sherry Hamilton,South,Technology,Accessories,673.86,6,0.0,161.73
ORD-300183,2024-08-24,Bryan Green,Central,Technology,Accessories,660.56,1,0.03,138.72
ORD-300184,2023-05-03,Jonathan Dawson,East,Furniture,Bookcases,337.93,6,0.1,47.31
ORD-300185,2025-06-20,Jamie Shannon,West,Technology,Phones,64.5,1,0.0,15.48
ORD-300186,2024-11-02,Samantha Gonzales,West,Technology,Accessories,1206.58,9,0.1,168.92
ORD-300187,2023-11-09,Andrea Robinson,Central,Office Supplies,Paper,1405.56,9,0.1,196.78
ORD-300188,2025-06-30,Devin Wilson,Central,Office Supplies,Storage,1010.94,2,0.07,171.86
ORD-300189,2025-03-12,Amanda Phillips,West,Furniture,Chairs,73.87,10,0.07,12.56
ORD-300190,2025-01-29,Fred Jones,Central,Furniture,Tables,1289.6,4,0.07,219.23
ORD-300191,2023-08-05,Katrina Burgess,South,Furniture,Chairs,1296.83,4,0.0,311.24
ORD-300192,2024-02-08,Nathan Soto,West,Office Supplies,Paper,880.11,10,0.0,211.23
ORD-300193,2024-01-26,Brent Stark,East,Furniture,Bookcases,114.19,1,0.07,19.41
ORD-300194,2024-12-31,Carlos Mitchell,West,Office Supplies,Binders,1167.78,10,0.03,245.23
ORD-300195,2025-10-27,Lisa Lopez,Central,Office Supplies,Binders,147.2,6,0.1,20.61
ORD-300196,2023-06-04,Lindsey Barnes,East,Office Supplies,Binders,546.9,10,0.1,76.57
ORD-300197,2026-02-26,Gregory Holland,West,Office Supplies,Paper,1170.63,7,0.03,245.83
ORD-300198,2023-05-31,Andrew Sampson,Central,Furniture,Bookcases,165.46,7,0.07,28.13
ORD-300199,2025-12-12,Kathleen Howell,West,Technology,Copiers,114.41,1,0.0,27.46
ORD-300200,2024-11-06,Vicki Edwards,Central,Technology,Copiers,1227.2,4,0.07,208.62
ORD-300201,2023-07-08,Julie Valentine,East,Technology,Accessories,156.03,3,0.0,37.45
